trial_id,seed,split_id,k,config_name,baseline_eer,xpca_eer,delta_eer,baseline_auc,xpca_auc,delta_auc,baseline_threshold,xpca_threshold,train_count,probe_count,genuine_count,impostor_count,runtime,git_commit,config_hash,score_file_baseline,score_file_xpca
16,16,split_16,128,Optimized,7.364048540519132,7.4349750820339064,0.07092654151477501,0.974998906138602,0.9749212686856212,-7.763745298072777e-05,0.282893568277359,0.28484373483973136,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
17,17,split_17,128,Standard,8.039233529429607,7.978745233647191,-0.060488295782415435,0.9680197649958855,0.9672704189734589,-0.0007493460224266002,0.28389713168144226,0.30589347097473274,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
17,17,split_17,128,Optimized,7.2923190570249385,7.326221051711247,0.03390199468630839,0.973263487596002,0.9731930546274302,-7.043296857178749e-05,0.28452208638191223,0.28586014087624373,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
18,18,split_18,128,Standard,8.117564980310075,8.42767901591431,0.3101140356042337,0.9719040803012476,0.9709529612213046,-0.0009511190799430524,0.28265124559402466,0.2978686007579162,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
18,18,split_18,128,Optimized,7.050009010793326,7.068030597442363,0.01802158664903769,0.9759585156961142,0.9758842115958589,-7.430410025532908e-05,0.2880704402923584,0.2900387283579326,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
19,19,split_19,128,Standard,7.856430405450013,8.03994725563353,0.18351685018351688,0.9685163950953803,0.9675233460623128,-0.0009930490330675168,0.2884029150009155,0.30710401968633516,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
19,19,split_19,128,Optimized,7.039303117734491,7.119775747226728,0.08047262949223699,0.9728819838421419,0.9728018978874112,-8.00859547306354e-05,0.29081764817237854,0.2908955861345465,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
20,20,split_20,128,Standard,7.3742191389250245,7.301508281900439,-0.07271085702458546,0.9732673799173454,0.9730932615581973,-0.00017411835914804552,0.29427599906921387,0.313170127924006,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
20,20,split_20,128,Optimized,6.789766593688159,6.654961556922341,-0.1348050367658185,0.977156304339102,0.9771235611996157,-3.274313948631313e-05,0.293961763381958,0.29931232687079296,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
21,21,split_21,128,Standard,7.126288498837517,7.7937117152803435,0.6674232164428264,0.9753696616200832,0.9739523897478644,-0.0014172718722188504,0.29827675223350525,0.30953191356090404,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
21,21,split_21,128,Optimized,6.7138439687459295,6.807074454133274,0.0932304853873453,0.978511326835587,0.978414483513165,-9.684332242199112e-05,0.2947520911693573,0.2955850982918738,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
22,22,split_22,128,Standard,7.765876393327376,8.088302205949264,0.32242581262188763,0.9698424630174562,0.9690128198743766,-0.0008296431430796503,0.2889966368675232,0.304473557659095,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
22,22,split_22,128,Optimized,6.880855900463745,6.900037292194155,0.01918139173041067,0.9748844205975133,0.9748037216039978,-8.069899351559329e-05,0.2919520437717438,0.2940003705993027,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
23,23,split_23,128,Standard,7.61429879076938,7.964827572670713,0.3505287819013325,0.973499169224306,0.9715556901405852,-0.0019434790837208338,0.29056861996650696,0.31120499161319537,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
23,23,split_23,128,Optimized,6.799491113216602,6.889866693788263,0.09037558057166106,0.9775502383859404,0.9774421616209927,-0.00010807676494761775,0.29217150807380676,0.2931363576886129,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
24,24,split_24,128,Standard,7.615726243177225,7.815034285622523,0.1993080424452981,0.9704457063340011,0.9696354056971359,-0.0008103006368651577,0.2912246584892273,0.3079464481167795,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
24,24,split_24,128,Optimized,6.710542985052789,6.86096078252941,0.15041779747662076,0.9752646069390621,0.9751776723400754,-8.693459898678757e-05,0.29483628273010254,0.2954584128420038,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
25,25,split_25,128,Standard,7.700570445668483,7.711187122951826,0.010616677283342701,0.9730613879254498,0.9722120654336293,-0.00084932249182057,0.29041630029678345,0.31070764241482973,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
25,25,split_25,128,Optimized,7.128072814347322,7.174554233377761,0.04648141903043912,0.9771031234071814,0.9770179095547243,-8.52138524570778e-05,0.28870904445648193,0.2898566409285428,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
26,26,split_26,128,Standard,7.463880993292758,7.590924257590926,0.12704326429816698,0.9747829842336112,0.9739362929130236,-0.000846691320587567,0.2927559018135071,0.3117064425598785,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
26,26,split_26,128,Optimized,6.816977405212697,6.932065755595168,0.11508835038247095,0.9782560783829433,0.9781878009142707,-6.827746867255069e-05,0.2923564016819,0.29259440744602366,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
27,27,split_27,128,Standard,7.363245598539719,7.61394192766742,0.25069632912770035,0.9703979718753852,0.9697243072811155,-0.0006736645942697628,0.29341405630111694,0.30827964963518534,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
27,27,split_27,128,Optimized,7.0573247043835305,6.946429495449102,-0.11089520893442784,0.974183534596889,0.9741169252659353,-6.660933095370414e-05,0.28814905881881714,0.2931311442100592,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
28,28,split_28,128,Standard,7.684422390304742,7.972054050485425,0.28763166018068304,0.9729349996408498,0.9715941661791256,-0.0013408334617242001,0.2902080714702606,0.30893474929343573,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
28,28,split_28,128,Optimized,7.126288498837517,7.125842419960065,-0.00044607887745157226,0.9774787810069081,0.9773256594088122,-0.00015312159809588444,0.28838974237442017,0.291346677027924,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
29,29,split_29,128,Standard,7.704495939790057,7.9738383659952285,0.26934242620517135,0.9700849976740841,0.9691410246243154,-0.000943973049768676,0.28839173913002014,0.3036466623211262,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
29,29,split_29,128,Optimized,7.120311041879668,7.008523675190341,-0.11178736668932682,0.9738096540058931,0.9737336364658875,-7.60175400056351e-05,0.28776299953460693,0.2938458847450841,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
