component,eigenvalue,explained_variance_ratio,cumulative_variance
417,0.06546223,0.00019851889,0.92848724
418,0.065429635,0.00019842004,0.92868567
419,0.065133184,0.00019752102,0.9288832
420,0.06469946,0.00019620573,0.9290794
421,0.06466513,0.00019610162,0.9292755
422,0.06451427,0.00019564413,0.92947114
423,0.064346924,0.00019513663,0.9296663
424,0.063846156,0.00019361802,0.9298599
425,0.06373673,0.00019328618,0.9300532
426,0.06336209,0.00019215007,0.93024534
427,0.06300849,0.00019107772,0.93043643
428,0.06286416,0.00019064006,0.93062705
429,0.062540695,0.00018965911,0.9308167
430,0.06236546,0.0001891277,0.93100584
431,0.062160987,0.00018850762,0.93119437
432,0.061992887,0.00018799785,0.93138236
433,0.061851125,0.00018756794,0.93156993
434,0.061756115,0.00018727982,0.9317572
435,0.061567426,0.0001867076,0.9319439
436,0.06121224,0.00018563049,0.9321295
437,0.061090812,0.00018526224,0.93231475
438,0.060832553,0.00018447905,0.93249923
439,0.06057987,0.00018371278,0.93268293
440,0.060338803,0.00018298172,0.9328659
441,0.060301363,0.00018286819,0.9330488
442,0.060141105,0.00018238218,0.9332312
443,0.059804928,0.0001813627,0.93341255
444,0.059549697,0.0001805887,0.93359315
445,0.05938186,0.00018007973,0.9337732
446,0.059077322,0.0001791562,0.9339524
447,0.05884902,0.00017846386,0.93413085
448,0.058691036,0.00017798475,0.9343088
449,0.058627527,0.00017779216,0.9344866
450,0.05819783,0.00017648906,0.9346631
451,0.058043666,0.00017602155,0.9348391
452,0.057819005,0.00017534025,0.9350145
453,0.057697646,0.00017497223,0.9351895
454,0.057390064,0.00017403947,0.93536353
455,0.057094473,0.00017314305,0.9355367
456,0.056768227,0.0001721537,0.9357088
457,0.056640245,0.00017176558,0.9358806
458,0.05647684,0.00017127003,0.93605185
459,0.056201156,0.00017043401,0.93622226
460,0.05594685,0.0001696628,0.9363919
461,0.05572989,0.00016900485,0.93656087
462,0.05568515,0.00016886918,0.9367297
463,0.055330902,0.0001677949,0.9368975
464,0.055204954,0.00016741296,0.93706495
465,0.05466349,0.00016577094,0.9372307
466,0.054541707,0.00016540161,0.9373961
467,0.054405045,0.00016498717,0.9375611
468,0.05424032,0.00016448763,0.9377256
469,0.054098986,0.00016405903,0.93788964
470,0.053708214,0.00016287398,0.93805254
471,0.053613957,0.00016258814,0.93821514
472,0.053393118,0.00016191843,0.9383771
473,0.053195663,0.00016131964,0.9385384
474,0.053101063,0.00016103276,0.9386994
475,0.05285723,0.00016029332,0.9388597
476,0.052722,0.00015988322,0.93901956
477,0.052243073,0.00015843083,0.939178
478,0.052153803,0.00015816012,0.9393361
479,0.05193298,0.00015749046,0.9394936
480,0.051795512,0.00015707358,0.93965065
481,0.051695958,0.00015677168,0.9398074
482,0.051347088,0.0001557137,0.9399631
483,0.05121484,0.00015531265,0.94011843
484,0.051084053,0.00015491604,0.94027334
485,0.051012576,0.00015469927,0.940428
486,0.050869156,0.00015426434,0.9405823
487,0.050356045,0.0001527083,0.940735
488,0.050242018,0.0001523625,0.94088733
489,0.050190788,0.00015220714,0.94103956
490,0.04984856,0.00015116931,0.9411907
491,0.04972787,0.0001508033,0.9413415
492,0.04959683,0.00015040592,0.9414919
493,0.04924918,0.00014935165,0.9416413
494,0.04911453,0.0001489433,0.9417902
495,0.048732966,0.0001477862,0.941938
496,0.048617087,0.00014743478,0.94208544
497,0.04848688,0.00014703991,0.9422325
498,0.04822673,0.000146251,0.94237876
499,0.047983307,0.0001455128,0.94252425
500,0.047636237,0.00014446028,0.94266874
501,0.047334284,0.00014354459,0.94281226
502,0.047093127,0.00014281327,0.9429551
503,0.047035106,0.0001426373,0.9430977
504,0.046628844,0.0001414053,0.9432391
505,0.046560496,0.00014119802,0.9433803
506,0.04629225,0.00014038454,0.94352067
507,0.046105668,0.00013981873,0.9436605
508,0.045799166,0.00013888924,0.9437994
509,0.045596812,0.00013827559,0.94393766
510,0.045489028,0.00013794872,0.9440756
511,0.044871,0.00013607451,0.94421166
512,0.04475484,0.00013572225,0.9443474
