component,eigenvalue,explained_variance_ratio,cumulative_variance
353,0.0024289144,1.1413268e-05,0.99767417
354,0.0024168491,1.1356575e-05,0.99768555
355,0.0024091268,1.1320289e-05,0.9976969
356,0.0023866857,1.1214839e-05,0.9977081
357,0.0023631298,1.1104152e-05,0.99771917
358,0.002353261,1.1057779e-05,0.99773026
359,0.0023470076,1.1028395e-05,0.9977413
360,0.0023400905,1.0995892e-05,0.99775225
361,0.0023173003,1.08888025e-05,0.99776316
362,0.0023080825,1.084549e-05,0.997774
363,0.0022994855,1.0805093e-05,0.9977848
364,0.0022816479,1.0721275e-05,0.9977955
365,0.0022691432,1.0662517e-05,0.9978062
366,0.0022657951,1.0646784e-05,0.99781686
367,0.0022525953,1.0584759e-05,0.9978275
368,0.0022346575,1.0500471e-05,0.99783796
369,0.0022311974,1.0484213e-05,0.99784845
370,0.0022237613,1.0449271e-05,0.9978589
371,0.002210645,1.0387638e-05,0.99786925
372,0.0022074368,1.0372563e-05,0.9978796
373,0.0021937073,1.0308049e-05,0.99788994
374,0.0021829333,1.0257423e-05,0.9979002
375,0.0021739493,1.0215208e-05,0.9979104
376,0.002159865,1.0149028e-05,0.9979205
377,0.002142388,1.0066904e-05,0.9979306
378,0.0021370216,1.0041688e-05,0.9979406
379,0.0021272404,9.995727e-06,0.9979506
380,0.0021229244,9.975447e-06,0.99796057
381,0.002104467,9.888717e-06,0.99797046
382,0.002083642,9.790861e-06,0.99798024
383,0.0020791315,9.7696675e-06,0.99799
384,0.0020628932,9.693365e-06,0.9979997
385,0.0020492987,9.629485e-06,0.9980094
386,0.002045327,9.610823e-06,0.998019
387,0.0020254487,9.517416e-06,0.9980285
388,0.0020197676,9.490722e-06,0.998038
389,0.0020101028,9.445307e-06,0.9980474
390,0.0019996143,9.3960225e-06,0.9980568
391,0.0019899304,9.350519e-06,0.9980662
392,0.0019773857,9.2915725e-06,0.9980755
393,0.001973572,9.273652e-06,0.9980848
394,0.001962593,9.2220625e-06,0.998094
395,0.0019523888,9.174114e-06,0.9981032
396,0.0019501891,9.163778e-06,0.9981124
397,0.0019384808,9.108761e-06,0.9981215
398,0.0019300529,9.069159e-06,0.99813056
399,0.0019151849,8.9992955e-06,0.99813956
400,0.0019104755,8.977167e-06,0.99814856
401,0.0019011634,8.93341e-06,0.9981575
402,0.0018895974,8.879062e-06,0.9981664
403,0.0018756549,8.8135475e-06,0.9981752
404,0.0018644944,8.761105e-06,0.99818397
405,0.0018604996,8.742334e-06,0.9981927
406,0.0018444369,8.666857e-06,0.9982014
407,0.0018252949,8.576911e-06,0.99820995
408,0.0018189662,8.547172e-06,0.9982185
409,0.0018085798,8.498368e-06,0.998227
410,0.001804837,8.480781e-06,0.99823546
411,0.0017996067,8.456203e-06,0.9982439
412,0.0017847398,8.386345e-06,0.99825233
413,0.0017750646,8.340882e-06,0.9982607
414,0.0017686111,8.310558e-06,0.99826896
415,0.0017560389,8.251482e-06,0.9982772
416,0.0017409384,8.180526e-06,0.99828535
417,0.0017330855,8.143626e-06,0.9982935
418,0.0017248859,8.105097e-06,0.9983016
419,0.0017244956,8.103262e-06,0.99830973
420,0.0017150828,8.059033e-06,0.9983178
421,0.0017004847,7.990438e-06,0.99832577
422,0.0016938422,7.959225e-06,0.99833375
