seed,dimension,method,eer,accuracy,auc,delta_eer
46,128,Gabor + XPCA (Residual),6.353125587811145,93.64687441218885,0.9765255336751749,-1.2489811273434075
46,128,Gabor + XPCA (Sort),6.219700294689325,93.78029970531068,0.9760261112784806,-1.3824064204652275
46,128,Gabor + XPCA (Sort Weights),16.97874474888708,83.02125525111292,0.9113416649717315,9.37663803373253
46,256,Raw PCA,9.846134553890524,90.15386544610948,0.9615705414667791,0.0
46,256,Raw XPCA (Min-Max),10.031349927895164,89.96865007210484,0.9570686074056176,0.18521537400464005
46,256,Gabor + PCA,7.207975421656528,92.79202457834347,0.9726578897063658,0.0
46,256,Gabor + XPCA (Min-Max),8.247162831525486,91.75283716847451,0.9676019678579131,1.0391874098689584
46,256,Gabor + XPCA (Softmax),9.778293309925386,90.22170669007461,0.9584365066087177,2.5703178882688587
46,256,Gabor + XPCA (Residual),5.785064894350746,94.21493510564926,0.9780051572925285,-1.422910527305782
46,256,Gabor + XPCA (Sort),5.653144397767887,94.34685560223211,0.9780951380084997,-1.5548310238886405
46,256,Gabor + XPCA (Sort Weights),16.975735155809144,83.02426484419085,0.9114249413909276,9.767759734152616
46,512,Raw PCA,9.768888331556836,90.23111166844316,0.961426224138221,0.0
46,512,Raw XPCA (Min-Max),9.69176750893473,90.30823249106528,0.9582182328122109,-0.07712082262210629
46,512,Gabor + PCA,6.920810082136808,93.07918991786319,0.9741494574933209,0.0
46,512,Gabor + XPCA (Min-Max),7.910213806508243,92.08978619349175,0.9689543468586608,0.9894037243714351
46,512,Gabor + XPCA (Softmax),9.921248981127343,90.07875101887267,0.958746761399522,3.0004388989905353
46,512,Gabor + XPCA (Residual),5.061633958241899,94.9383660417581,0.9802038509945573,-1.8591761238949092
46,512,Gabor + XPCA (Sort),5.008589880243278,94.99141011975672,0.9807629612071405,-1.91222020189353
46,512,Gabor + XPCA (Sort Weights),16.978368549752336,83.02163145024765,0.9114388320087351,10.057558467615529
46,1024,Raw PCA,9.782055301272806,90.2179446987272,0.9613668507391702,0.0
46,1024,Raw XPCA (Min-Max),9.762618345977803,90.2373816540222,0.959117773268146,-0.01943695529500289
46,1024,Gabor + PCA,6.639914728196122,93.36008527180388,0.9748835535219733,0.0
46,1024,Gabor + XPCA (Min-Max),7.606871904194618,92.39312809580538,0.9711124453096686,0.9669571759984956
46,1024,Gabor + XPCA (Softmax),9.851025142642172,90.14897485735783,0.9588823668125075,3.2111104144460496
46,1024,Gabor + XPCA (Residual),5.242836541475956,94.75716345852405,0.9815674853840519,-1.397078186720166
46,1024,Gabor + XPCA (Sort),5.272807072543735,94.72719292745626,0.9821185883662711,-1.3671076556523873
46,1024,Gabor + XPCA (Sort Weights),16.977490751771274,83.02250924822873,0.9114387047739058,10.337576023575153
