PC_Index,Explained_Variance,Variance_Ratio,Fisher_Score,Fisher_Rank
361,0.07975122,0.00027204386,0.55299145,350
362,0.0795666,0.00027141406,0.57486725,322
363,0.079383194,0.00027078844,0.62413037,275
364,0.07934245,0.00027064944,0.5167239,399
365,0.07910579,0.00026984216,0.52640676,387
366,0.07868592,0.00026840993,0.50887716,409
367,0.07836803,0.00026732558,0.63189864,266
368,0.07807912,0.00026634004,0.49679255,422
369,0.077547304,0.00026452594,0.578027,316
370,0.07717484,0.0002632554,0.5706615,325
371,0.07701051,0.00026269487,0.61490095,281
372,0.07651416,0.00026100173,0.46488014,458
373,0.076376356,0.00026053167,0.5060027,411
374,0.076266296,0.00026015623,0.58711636,309
375,0.075933784,0.00025902197,0.5891459,307
376,0.075561084,0.00025775062,0.46111304,463
377,0.07539887,0.0002571973,0.4622775,462
378,0.07522021,0.00025658787,0.49718595,420
379,0.074878156,0.00025542107,0.5217396,394
380,0.07474693,0.00025497342,0.5541798,347
381,0.07424883,0.00025327434,0.54181385,368
382,0.07412592,0.00025285507,0.4901225,430
383,0.073855564,0.00025193286,0.5548752,346
384,0.07346288,0.00025059335,0.45298338,469
385,0.07315398,0.00024953962,0.5234502,391
386,0.07298069,0.0002489485,0.44323877,481
387,0.07262702,0.0002477421,0.42595226,498
388,0.072531134,0.000247415,0.53753215,374
389,0.072127335,0.00024603758,0.62486386,274
390,0.07194696,0.0002454223,0.5540756,348
391,0.07157868,0.00024416603,0.52224314,393
392,0.07126072,0.00024308142,0.51824033,398
393,0.07097651,0.00024211194,0.43164885,491
394,0.07051529,0.00024053865,0.5215714,395
395,0.0702914,0.00023977492,0.59332514,302
396,0.070043035,0.0002389277,0.4453209,478
397,0.0698724,0.00023834566,0.47348017,448
398,0.069579855,0.00023734773,0.47573414,445
399,0.06933468,0.00023651139,0.50896084,408
400,0.06917198,0.00023595641,0.5396752,372
401,0.068877265,0.00023495109,0.56123495,341
402,0.06877952,0.00023461766,0.44001988,483
403,0.06857649,0.00023392511,0.49105743,429
404,0.06854493,0.00023381745,0.5590997,343
405,0.06820932,0.00023267262,0.558418,344
406,0.068023585,0.00023203905,0.54263407,367
407,0.067815416,0.00023132896,0.4788734,443
408,0.06739798,0.00022990502,0.5656304,332
409,0.067142606,0.00022903389,0.5246225,390
410,0.06667014,0.00022742225,0.4479696,476
411,0.06649369,0.00022682034,0.5311359,381
412,0.06643493,0.00022661989,0.5613934,340
413,0.06631176,0.00022619976,0.5534441,349
414,0.06593347,0.00022490935,0.51311135,401
415,0.06558583,0.00022372349,0.44499752,479
416,0.06535843,0.0002229478,0.4157967,505
417,0.06528431,0.00022269496,0.48942226,431
418,0.065043435,0.0002218733,0.46106705,464
419,0.06495341,0.00022156621,0.45110703,473
420,0.064743996,0.00022085186,0.49211937,427
421,0.064333335,0.00021945103,0.4360449,487
422,0.06420095,0.00021899946,0.43205914,490
423,0.06389812,0.00021796643,0.47952443,442
424,0.063803464,0.00021764357,0.46795943,454
425,0.06350485,0.00021662495,0.4340232,488
426,0.06313206,0.00021535331,0.4311791,492
427,0.06305139,0.00021507811,0.5041895,412
428,0.062739186,0.00021401314,0.45370635,468
429,0.062431533,0.00021296369,0.4735948,447
430,0.06229669,0.00021250371,0.50011194,418
431,0.06191698,0.00021120848,0.46631294,456
432,0.061753217,0.00021064984,0.5146979,400
433,0.06136674,0.00020933151,0.47965518,441
434,0.061166488,0.00020864843,0.5001897,417
435,0.06105743,0.00020827641,0.48901057,432
436,0.060853347,0.00020758025,0.4680266,453
437,0.060755607,0.00020724685,0.5491136,358
438,0.060438402,0.00020616481,0.42533484,500
439,0.060316876,0.00020575027,0.52526647,389
440,0.060225457,0.00020543842,0.43088976,493
441,0.060130693,0.00020511517,0.51021487,404
442,0.05981318,0.00020403208,0.46724862,455
443,0.059775073,0.00020390209,0.40385324,510
444,0.059454277,0.0002028078,0.5319276,378
445,0.059401553,0.00020262795,0.48617825,435
446,0.058968972,0.00020115236,0.5412441,369
447,0.05864474,0.00020004636,0.44713286,477
448,0.05846886,0.0001994464,0.5474608,361
449,0.05834516,0.00019902443,0.5370339,375
450,0.057896376,0.00019749356,0.5002532,416
451,0.057738137,0.00019695378,0.49432746,425
452,0.05763816,0.00019661275,0.42514178,501
453,0.057357367,0.00019565492,0.5350317,376
454,0.056933127,0.00019420777,0.5954581,300
455,0.05688431,0.00019404125,0.43781504,485
456,0.056692306,0.0001933863,0.48708418,433
457,0.05635037,0.00019221989,0.48308855,438
458,0.056064636,0.00019124521,0.46243212,460
459,0.055987652,0.00019098261,0.47819665,444
460,0.055794347,0.00019032322,0.44477576,480
461,0.055579767,0.00018959124,0.47076714,449
462,0.055388696,0.00018893948,0.54122627,370
463,0.055070005,0.00018785238,0.48140097,439
464,0.05488656,0.00018722661,0.4626841,459
465,0.054825798,0.00018701934,0.45294347,470
466,0.054621298,0.00018632176,0.49261415,426
467,0.054389495,0.00018553104,0.40519032,508
468,0.054253157,0.00018506598,0.44869977,475
469,0.05411567,0.000184597,0.43369597,489
470,0.053813804,0.00018356727,0.49811447,419
471,0.053578787,0.0001827656,0.4737758,446
472,0.053422164,0.00018223134,0.46836093,451
473,0.053376317,0.00018207493,0.43966442,484
474,0.052849114,0.00018027656,0.4843263,436
475,0.0527419,0.00017991084,0.38138747,511
476,0.052624807,0.00017951142,0.42601562,497
477,0.052532177,0.00017919544,0.57053626,326
478,0.052324485,0.00017848698,0.43715122,486
479,0.052071426,0.00017762375,0.5274354,384
